category,name,date,text
debate,Donald Trump,2020,You know what else the word is? We’re winning in a lot of states.
debate,Savannah Guthrie,2020,Okay.
debate,Donald Trump,2020,We’re winning in a lot of States. You’re going to see that.
debate,Savannah Guthrie,2020,"Well, let me ask… Okay. I’m glad you brought up the election, because I do want to ask about that. That’s another kind of leftover item. A lot of people have asked you, will you accept a peaceful transfer of power? You have said, repeatedly, “The only way we lose this election is, if it is rigged.” Now, that is simply not true. The fact is, either candidate can lose fair and square, without ballot fraud."
debate,Donald Trump,2020,"Sure, they can. And do you know what?"
debate,Savannah Guthrie,2020,"So, will you accept the results of the election?"
debate,Donald Trump,2020,"Win or lose, that’s the way I want it to be. But when I see thousands of ballots, right? Unsolicited ballots, being given out by the millions, and thousands of them are dumped in dumpsters. And when you see ballots with the name Trump, military ballots, from our great military. And they’re dumped in garbage cans-"
debate,Savannah Guthrie,2020,"That is a handful… We could go all night, which we won’t."
debate,Donald Trump,2020,"No, no, it’s happening every day."
debate,Savannah Guthrie,2020,"But, we could go all night, one by one. A single case, a single day. You’re talking about 150 million votes. Your own FBI director says, there is no evidence of widespread fraud."
debate,Donald Trump,2020,"Oh, really? Well, then he’s not doing a very good job. All you have to do is pick up the papers every day. 50,000 in Ohio, the great state of Ohio. 50,000 in another location, I think North Carolina. 500,000 applications in Virginia. No, no, there’s a tremendous problem."
debate,Donald Trump,2020,"But let me just tell you, they talk about the peaceful transfer, right? They spied on my campaign and they got caught. And they spied heavily, on my campaign. And they tried to take down a duly elected sitting president. And then, they talk about, “Will you accept a peaceful transfer?” And the answer is, yes, I will. But I want it to be an honest election. And so does everybody else. When I see thousands of ballots dumped in a garbage can, and they happen to have my name on it? I’m not happy about that."
debate,Savannah Guthrie,2020,"Okay, but just… Those are case, there is no, there is in fact, no evidence of widespread fraud. And you are sowing doubt about our democracy."
debate,Donald Trump,2020,"Could I ask you, how can you say that?"
debate,Savannah Guthrie,2020,Our democracy.
debate,Donald Trump,2020,How can you say that? You do read newspapers?
debate,Savannah Guthrie,2020,I do.
debate,Donald Trump,2020,You do watch the news?
debate,Savannah Guthrie,2020,"Yes, I do."
debate,Donald Trump,2020,"I know you read the news, but do you watch it?"
debate,Savannah Guthrie,2020,I do.
debate,Donald Trump,2020,"Because, every day, they’re talking about ballots that are corrupt, that are fraudulent."
debate,Savannah Guthrie,2020,And millions that are-
debate,Donald Trump,2020,Sure.
debate,Savannah Guthrie,2020,… being processed right now.
debate,Donald Trump,2020,"Sure, sure. But you can win a race… Take a look at me. You can win a race by 1%."
debate,Savannah Guthrie,2020,"So why are you laying the groundwork for that, right now?"
debate,Donald Trump,2020,"I’m not, I don’t want that to happen."
debate,Savannah Guthrie,2020,"It’s like, if I go play tennis with my husband and I say, ” My ankle is hurting right now.”"
debate,Donald Trump,2020,You know what? I don’t want that to happen. Savannah. I want it to be clean.
debate,Savannah Guthrie,2020,Okay.
debate,Donald Trump,2020,"And I want… I really feel we’re going to win, but I want this to be clean."
debate,Savannah Guthrie,2020,Let’s get to questions.
debate,Donald Trump,2020,"But it’s sort of ironic that you, and them, talk about the peaceful transfer when I spent three and a half years fighting off these maniacs. And now, it turns out, everything’s there. That they were the ones that dealt with Russia, and it’s too bad."
debate,Savannah Guthrie,2020,Okay.
debate,Donald Trump,2020,"Peaceful transfer, I absolutely want that. But ideally, I don’t want to transfer, because I want to win."
debate,Savannah Guthrie,2020,"Yes. And I think that, your words will probably reassure some folks. Let’s get to our first voter. We’ve got Jacqueline Lugo. Now she is, I told you, this audience is truly split between y’all. You are leaning Biden, she voted for Clinton in 2016. She’s registered as an Independent. Jacqueline, what’s your question for the President? And hold the mic up close, and take off your mic, because it’s hard to hear, out here."
debate,Donald Trump,2020,Sure.
debate,Jacqueline Lugo,2020,Good evening.
debate,Donald Trump,2020,How are you?
debate,Jacqueline Lugo,2020,Welcome to Miami.
debate,Donald Trump,2020,"Thank you very much, it’s beautiful."
debate,Jacqueline Lugo,2020,"Mr. President, if you knew COVID-19, as you told Bob Woodward in February-"
debate,Donald Trump,2020,As what?
debate,Jacqueline Lugo,2020,"As you told Bob Woodward in February, was airborne and deadlier than the flu, why did you only put in place a travel ban from China, and not put in place other measures mitigating the spread of COVID-19, potentially saving tens of thousands of American lives?"
debate,Donald Trump,2020,"Well, I did put it in very early, as you know, Joe Biden was two months behind me, and he called me xenophobic and racist and everything else, because I put it in. And it turned out that I was 100% right. I also put it on Europe, very early, because I saw there was a lot of infection in Europe. And it’s sort of an amazing question. And I appreciate the question, and respect the question, but the news doesn’t get out the right answer."
debate,Donald Trump,2020,"Because I put on a travel ban far earlier than Dr. Fauci thought it was necessary. Who I like. Far earlier than the scientists… I was actually the only one that wanted to put it on. And I did it, actually against the advice of a lot of people, including Nancy Pelosi who had no clue what she was doing. And, Biden."
